Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6748028;11605612;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
6718315;11605613;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1880
6718315;11605614;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1071
6721639;11605615;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;7;2100
6721639;11605616;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1150
6650436;11605619;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1475
6650436;11605620;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
6620480;11605621;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1535
6721651;11605628;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1443
6695619;11605629;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1050
6695619;11605630;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1450
6695619;11605631;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1695
6585301;11605632;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;6;7650
6585301;11605633;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1410
6721731;11605634;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1300
6721731;11605635;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1032
6768883;11605636;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1466
6768883;11605637;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;960
6712357;11605638;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;6;14550
6712357;11605639;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1390
6768884;11605642;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1520
6768884;11605643;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1105
6664727;11605644;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;1;1817
6664727;11605645;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1318
6612755;11605646;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1555
6578149;11605674;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1074
6578149;11605675;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1075
6660570;11605678;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1289
6660570;11605889;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
6620369;11605890;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1530
6620369;11605891;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1135
6664560;11605894;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1250
6664560;11605895;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;2070
6664560;11605896;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1095
6688658;11605898;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1249
6650875;11605908;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1445
6650875;11605909;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;5;14000
