,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
881,9956073,2021,1,Lauantai,237028.0,6715913.0,,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
882,9956074,2021,1,Sunnuntai,381929.0,6904472.0,1115.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
883,9956074,2021,1,Sunnuntai,381929.0,6904472.0,1195.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
884,9956075,2021,1,Lauantai,235315.0,6715652.0,1155.0,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
885,9956076,2021,1,Lauantai,225098.0,6742188.0,,Varsinais-Suomen ELY,valtatie,Ei henkilövahinkoja
886,9956077,2021,1,Lauantai,274417.0,6963635.0,1210.0,Etelä-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
887,9956077,2021,1,Lauantai,274417.0,6963635.0,2376.0,Etelä-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
888,9956078,2021,1,Maanantai,424878.0,7244661.0,,Pohjois-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
889,9956078,2021,1,Maanantai,424878.0,7244661.0,,Pohjois-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
890,9956078,2021,1,Maanantai,424878.0,7244661.0,,Pohjois-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
891,9956078,2021,1,Maanantai,424878.0,7244661.0,935.0,Pohjois-Pohjanmaan ELY,seututie,Ei henkilövahinkoja
892,9956079,2021,1,Maanantai,440503.0,6998082.0,2420.0,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
893,9956079,2021,1,Maanantai,440503.0,6998082.0,,Keski-Suomen ELY,valtatie,Ei henkilövahinkoja
894,9956080,2021,1,Tiistai,351725.0,7461469.0,1836.0,Lapin ELY,yhdystie,Ei henkilövahinkoja
895,9956080,2021,1,Tiistai,351725.0,7461469.0,,Lapin ELY,yhdystie,Ei henkilövahinkoja
896,9956081,2021,1,Tiistai,353869.0,6755420.0,,Uudenmaan ELY,valtatie,Ei henkilövahinkoja
897,9956081,2021,1,Tiistai,353869.0,6755420.0,2060.0,Uudenmaan ELY,valtatie,Ei henkilövahinkoja
898,9956082,2021,1,Sunnuntai,561153.0,7411088.0,1200.0,Lapin ELY,kantatie,Ei henkilövahinkoja
899,9956083,2021,1,Sunnuntai,495075.0,6734265.0,1595.0,Kaakkois-Suomen ELY,seututie,Loukkaantumiseen johtanut
900,9956083,2021,1,Sunnuntai,495075.0,6734265.0,1560.0,Kaakkois-Suomen ELY,seututie,Loukkaantumiseen johtanut
901,9956084,2021,1,Tiistai,598712.0,7290357.0,1827.0,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
902,9956084,2021,1,Tiistai,598712.0,7290357.0,,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
903,9956085,2021,1,Keskiviikko,532157.0,7260892.0,,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
904,9956085,2021,1,Keskiviikko,532157.0,7260892.0,3195.0,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
905,9956086,2021,1,Lauantai,370634.0,6748044.0,1635.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
906,9956086,2021,1,Lauantai,370634.0,6748044.0,1090.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
907,9956087,2021,1,Torstai,562199.0,6758765.0,,Kaakkois-Suomen ELY,seututie,Loukkaantumiseen johtanut
908,9956087,2021,1,Torstai,562199.0,6758765.0,1290.0,Kaakkois-Suomen ELY,seututie,Loukkaantumiseen johtanut
909,9956088,2021,1,Lauantai,261985.0,6696544.0,1205.0,Varsinais-Suomen ELY,yhdystie,Ei henkilövahinkoja
910,9956089,2021,1,Maanantai,514227.0,6862862.0,1700.0,Pohjois-Savon ELY,kantatie,Ei henkilövahinkoja
911,9956089,2021,1,Maanantai,514227.0,6862862.0,,Pohjois-Savon ELY,kantatie,Ei henkilövahinkoja
912,9956090,2021,1,Torstai,483450.0,7361791.0,1695.0,Lapin ELY,yhdystie,Ei henkilövahinkoja
913,9956090,2021,1,Torstai,483450.0,7361791.0,,Lapin ELY,yhdystie,Ei henkilövahinkoja
914,9956091,2021,1,Tiistai,207729.0,6756322.0,1323.0,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
915,9956091,2021,1,Tiistai,207729.0,6756322.0,,Varsinais-Suomen ELY,kantatie,Ei henkilövahinkoja
916,9956092,2021,1,Keskiviikko,388996.0,7176328.0,,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
917,9956092,2021,1,Keskiviikko,388996.0,7176328.0,1635.0,Pohjois-Pohjanmaan ELY,valtatie,Ei henkilövahinkoja
918,9956093,2021,1,Sunnuntai,395004.0,6687080.0,14600.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
919,9956093,2021,1,Sunnuntai,395004.0,6687080.0,1870.0,Uudenmaan ELY,valtatie,Loukkaantumiseen johtanut
920,9956094,2021,1,Sunnuntai,377772.0,6737938.0,1027.0,Uudenmaan ELY,kantatie,Ei henkilövahinkoja
