id,year,month,day_of_week,lon,lat,vehicle_mass,Seriousness,snowfall_1,snowfall_2,snowfall_3,snowfall_4,snowfall_5
8120032,2017,1,tiistai,22.3023,60.4572,,Ei henkilövahinkoja,0.0,0.5600000023841858,0.5600000023841858,0.0,
8120033,2017,1,maanantai,22.4835,60.5998,,Ei henkilövahinkoja,0.0,0.4199999868869781,0.2100000083446502,0.0,0.0
8120033,2017,1,maanantai,22.4835,60.5998,1281.0,Ei henkilövahinkoja,0.0,0.4199999868869781,0.2100000083446502,0.0,0.0
8120034,2017,1,perjantai,24.8827,60.1561,2460.0,Ei henkilövahinkoja,3.640000343322754,0.4200000166893005,0.0,0.0,
8120035,2017,1,maanantai,24.8497,60.285,1290.0,Ei henkilövahinkoja,3.359999656677246,0.3499999940395355,0.1400000005960464,0.0,0.0
8120035,2017,1,maanantai,24.8497,60.285,1235.0,Ei henkilövahinkoja,3.359999656677246,0.3499999940395355,0.1400000005960464,0.0,0.0
8120036,2017,1,lauantai,21.6487,61.505,1490.0,Ei henkilövahinkoja,0.0,0.0,0.0,0.0,
8120037,2017,1,maanantai,24.8731,60.2274,1795.0,Ei henkilövahinkoja,4.690000057220459,0.3499999940395355,0.2100000083446502,0.0,0.0
8120037,2017,1,maanantai,24.8731,60.2274,8550.0,Ei henkilövahinkoja,4.690000057220459,0.3499999940395355,0.2100000083446502,0.0,0.0
8120038,2017,1,maanantai,22.2658,60.4536,12700.0,Ei henkilövahinkoja,0.0,0.2100000083446502,0.2100000083446502,0.0,0.0
8120038,2017,1,maanantai,22.2658,60.4536,1280.0,Ei henkilövahinkoja,0.0,0.2100000083446502,0.2100000083446502,0.0,0.0
8120039,2017,1,tiistai,23.71,61.5274,1505.0,Ei henkilövahinkoja,0.1400000005960464,0.0700000002980232,0.0700000002980232,0.0,
8120040,2017,1,tiistai,24.7377,60.1615,,Ei henkilövahinkoja,0.9099999666213988,0.5600000023841858,0.4200000166893005,0.0,
8120041,2017,1,tiistai,25.1114,60.2329,1415.0,Ei henkilövahinkoja,0.9099999666213988,0.3499999940395355,0.4900000095367431,0.0,
8120042,2017,1,maanantai,21.6502,63.1066,6120.0,Ei henkilövahinkoja,0.0,0.0,0.0700000002980232,0.0,0.0
8120043,2017,1,maanantai,24.2712,62.1598,,Ei henkilövahinkoja,0.4199999868869781,0.4200000166893005,0.5600000023841858,0.0,0.0
8120043,2017,1,maanantai,24.2712,62.1598,1290.0,Ei henkilövahinkoja,0.4199999868869781,0.4200000166893005,0.5600000023841858,0.0,0.0
8120044,2017,1,maanantai,23.8836,61.4952,1340.0,Ei henkilövahinkoja,0.699999988079071,0.2800000011920929,0.3499999940395355,0.0,0.0
8120044,2017,1,maanantai,23.8836,61.4952,1564.0,Ei henkilövahinkoja,0.699999988079071,0.2800000011920929,0.3499999940395355,0.0,0.0
8120046,2017,1,lauantai,24.4718,67.5497,329.0,Loukkaantumiseen johtanut,1.1200000047683716,1.4700000286102295,0.3499999940395355,0.0700000002980232,
8120047,2017,1,lauantai,24.2692,60.1111,1025.0,Ei henkilövahinkoja,0.0,0.0,0.0,0.0700000002980232,
8120048,2017,1,perjantai,22.0609,61.5792,1794.0,Ei henkilövahinkoja,3.009999990463257,0.1400000005960464,0.0,0.0,
8120048,2017,1,perjantai,22.0609,61.5792,,Ei henkilövahinkoja,3.009999990463257,0.1400000005960464,0.0,0.0,
8120049,2017,1,tiistai,25.0996,60.4024,14750.0,Ei henkilövahinkoja,0.6300000548362732,0.2800000011920929,0.3499999940395355,0.0,
8120049,2017,1,tiistai,25.0996,60.4024,1735.0,Ei henkilövahinkoja,0.6300000548362732,0.2800000011920929,0.3499999940395355,0.0,
8120050,2017,1,lauantai,23.0524,60.8502,1085.0,Loukkaantumiseen johtanut,0.0,0.0,0.0,0.1400000005960464,
8120051,2017,1,sunnuntai,26.696,65.2212,1264.0,Ei henkilövahinkoja,0.0,0.3499999940395355,0.3500000238418579,1.4700000286102295,2.0999999046325684
8120051,2017,1,sunnuntai,26.696,65.2212,,Ei henkilövahinkoja,0.0,0.3499999940395355,0.3500000238418579,1.4700000286102295,2.0999999046325684
8120052,2017,1,perjantai,24.7158,62.2486,13500.0,Ei henkilövahinkoja,2.4499998092651367,0.2800000011920929,0.1400000005960464,0.0,
8120052,2017,1,perjantai,24.7158,62.2486,1363.0,Ei henkilövahinkoja,2.4499998092651367,0.2800000011920929,0.1400000005960464,0.0,
8120053,2017,1,tiistai,24.866,60.2346,1725.0,Ei henkilövahinkoja,1.0500000715255735,0.699999988079071,0.4200000166893005,0.0,
8120053,2017,1,tiistai,24.866,60.2346,1335.0,Ei henkilövahinkoja,1.0500000715255735,0.699999988079071,0.4200000166893005,0.0,
8120055,2017,1,lauantai,21.2155,62.547,,Ei henkilövahinkoja,0.0,0.1400000005960464,0.0,0.2800000011920929,
8120055,2017,1,lauantai,21.2155,62.547,1667.0,Ei henkilövahinkoja,0.0,0.1400000005960464,0.0,0.2800000011920929,
8120056,2017,1,maanantai,25.7519,60.7832,13800.0,Loukkaantumiseen johtanut,3.430000066757202,0.0,0.1400000005960464,0.0700000002980232,0.0
8120056,2017,1,maanantai,25.7519,60.7832,1559.0,Loukkaantumiseen johtanut,3.430000066757202,0.0,0.1400000005960464,0.0700000002980232,0.0
8120058,2017,1,keskiviikko,25.8729,62.2466,7304.0,Ei henkilövahinkoja,0.0,0.4199999868869781,0.0,0.2800000011920929,
